"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Rinzing (Ang Rinzing)","m","Sherpa","NEP","1993",""
"Sonam Dendu (Sona Dendu)","m","Sherpa","NEP","1993",""
"Taylor","m","","UK","1993",""
"Armatys","m","","USA","1993",""
"Lefever","f","","USA","1993",""
"Pema Temba (Pemba Temba)","m","Sherpa","NEP","1993",""
"Selland","m","","USA","1993",""
"Moti Lal Gurung","m","","NEP","1993",""
"Ang Chumbi","m","Sherpa","NEP","1993",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","1993",""
"Arnold","f","","NZ","1993",""
"Gluckman","m","","NZ","1993",""
"Gustafsson","m","","SF","1993",""
"Hall","m","","NZ","1993",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","1993",""
"Groom","m","","AUS","1993",""
"Lobsang Tshering Bhotia","m","","IND","1993",""
"Apa (Appa)","m","Sherpa","NEP","1993",""
"Berg","m","","USA","1993",""
"Chuldin Temba (Chuldim)","m","Sherpa","NEP","1993",""
"Dawa Nuru I (Da Nuru)","m","Sherpa","NEP","1993",""
"Dufficy","m","","USA","1993",""
"Helenek","m","","USA","1993",""
"Lowe","m","","USA","1993",""
"Sutton","m","","CAN","1993",""
"Vitkauskas","m","","LIT","1993",""
"Yanochkin","m","","RUS","1993",""
"Bashkirov","m","","RUS","1993",""
"Dolma","m","","IND","1993",""
"Kutiyal","f","","IND","1993",""
"Lobsang Jangbu","m","Sherpa","NEP","1993",""
"Martolia","f","","IND","1993",""
"Nga Temba Ii","m","Sherpa","NEP","1993",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","1993",""
"Sharma","f","","IND","1993",""
"Sharma","m","","IND","1993",""
"Tenzing I (Tenzen, Tenzi)","m","Sherpa","NEP","1993",""
"Thakur","f","","IND","1993",""
"Agirre","m","","E","1993",""
"Ang Rita","m","Sherpa","NEP","1993",""
"Jangbu I","m","Sherpa","NEP","1993",""
"Oñate","m","","E","1993",""
"Zerain","m","","E","1993",""
"Brown","m","","USA","1993",""
"Harris","m","","USA","1993",""
"An","m","","SK","1993",""
"Kaji (Pasang Kami)","m","Sherpa","NEP","1993",""
"Kim","m","","SK","1993",""
"Park","m","","SK","1993",""
"Ang Phurba Ii","m","Sherpa","NEP","1993",""
"Pujante","m","","E","1993",""
"Dorje Ii","m","Sherpa","NEP","1993",""
"Durge Bahadur Tamang","m","","NEP","1993",""
"Phinzo I","m","Sherpa","NEP","1993",""
"Rabold","m","","USA","1993",""
"Sinclair","m","","USA","1993",""
"Koroteev","m","","RUS","1993",""
"Ang Pasang I (Pasang Nuru)","m","Sherpa","NEP","1993",""
"Kami Tshering (Ang Chhiring)","m","Sherpa","NEP","1993",""
"Stephens","f","","UK","1993",""
"Cadiach","m","","E","1993",""
"Stelfox","m","","IRE","1993",""
"Bernard","m","","F","1993",""
"Cayrol","m","","F","1993",""
"Dawa Tashi I","m","Sherpa","NEP","1993",""
"Gramond","m","","F","1993",""
"Gyalbu","m","Sherpa","NEP","1993",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","1993",""
"Park","m","","SK","1993",""
"Bell","m","","UK","1993",""
"Blanco","m","","E","1993",""
"Dorje I","m","Sherpa","NEP","1993",""
"Harrison","f","","UK","1993",""
"Hoyland","m","","UK","1993",""
"Mcivor","m","","UK","1993",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","1993",""
"Pasang Kami I","m","Sherpa","NEP","1993",""
"Pfisterer","m","","USA","1993",""
"Oiarzabal","m","","E","1993",""
"Ongda Chhiring (Ongda Tshering)","m","Sherpa","NEP","1993",""
"Berbeka","m","","POL","1993",""
"Lhakpa Nuru I","m","Sherpa","NEP","1993",""
"Estève","m","","F","1993",""
"Giot","m","","F","1993",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","1993",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","1993",""
"Ang Pasang Ii","m","Sherpa","NEP","1993",""
"Barnicott","m","","UK","1993",""
"Hempleman-Adams","m","","UK","1993",""
"Lhakpa Gelu I","m","Sherpa","NEP","1993",""
"Nga Temba Ii","m","Sherpa","NEP","1993",""
"Nobmann","m","","USA","1993",""
"Tenzing I (Tenzen, Tenzi)","m","Sherpa","NEP","1993",""
"Babu Chiri","m","Sherpa","NEP","1993",""
"Tinker","m","","UK","1993",""
"Goto","m","","JAP","1993",""
"Nazuka","m","","JAP","1993",""
"Ezuka","m","","JAP","1993",""
"Tanabe","m","","JAP","1993",""
"Hoshino","m","","JAP","1993",""
"Ogata","m","","JAP","1993",""
"Prem Thapa","m","","NEP","1994","Altitude sickness"
"Shih","m","","TAI","1994","Exhaustion"
"Vigani","m","","ITA","1994","Fall"
"Rheinberger","m","","AUS","1994","Exhaustion"
"Mingma Norbu","m","Sherpa","NEP","1994","Avalanche"
"Shih","m","","TAI","1994",""
"Atsuta","m","","JAP","1994",""
"Dawa Tshering Ii (Dawa Chhiri)","m","Sherpa","NEP","1994",""
"Lhakpa Nuru I","m","Sherpa","NEP","1994",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","1994",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","1994",""
"Suzuki","m","","JAP","1994",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","1994",""
"Gundelach","m","","GER","1994",""
"Hall","m","","NZ","1994",""
"Kagge","m","","NOR","1994",""
"Keaton","m","","USA","1994",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","1994",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","1994",""
"Seitzl","m","","GER","1994",""
"Taylor","m","","USA","1994",""
"Viesturs","m","","USA","1994",""
"Wendel","m","","USA","1994",""
"Bishop","m","","USA","1994",""
"Fischer","m","","USA","1994",""
"Hess","m","","USA","1994",""
"Lobsang Jangbu","m","Sherpa","NEP","1994",""
"Sonam Dendu (Sona Dendu)","m","Sherpa","NEP","1994",""
"Goryl","m","","USA","1994",""
"Athans","m","","USA","1994",""
"Burleson","m","","USA","1994",""
"Cedergreen","m","","USA","1994",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","1994",""
"Dorje I","m","Sherpa","NEP","1994",""
"Kami Rita I (Topke)","m","Sherpa","NEP","1994",""
"Lhakpa Rita I","m","Sherpa","NEP","1994",""
"Man Bahadur Tamang (Gopal)","m","","NEP","1994",""
"Morrow","m","","USA","1994",""
"Pawłowski","m","","POL","1994",""
"Dawa Tashi I","m","Sherpa","NEP","1994",""
"Ishikawa","m","","JAP","1994",""
"Nima Temba Ii","m","Sherpa","NEP","1994",""
"Pasang Tshering I (Pasang Tshiring)","m","Sherpa","NEP","1994",""
"Hahn","m","","USA","1994",""
"Swenson","m","","USA","1994",""
"Rheinberger","m","","AUS","1994",""
"Whetu","m","","NZ","1994",""
"Sloezen","m","","USA","1994",""
"Apa (Appa)","m","Sherpa","NEP","1994",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","1994",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","1994",""
"Nukita","m","","JAP","1994",""
"Dawa Temba I","m","Sherpa","NEP","1994",""
"Dorje I","m","Sherpa","NEP","1994",""
"Hornsby","m","","UK","1994",""
"Kirkwood","m","","UK","1994",""
"Kami Rita","m","Sherpa","NEP","1995","Fall"
"Lhakpa Nuru I","m","Sherpa","NEP","1995","Avalanche"
"Zangbu (Ii)","m","Sherpa","NEP","1995","Fall"
"Lobsang Jangbu","m","Sherpa","NEP","1995",""
"Dawa Tshering Ii (Dawa Chhiri)","m","Sherpa","NEP","1995",""
"Furuno","m","","JAP","1995",""
"Imoto","m","","JAP","1995",""
"Lhakpa Nuru I","m","Sherpa","NEP","1995",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","1995",""
"Pasang Kami I","m","Sherpa","NEP","1995",""
"Projaev","m","","RUS","1995",""
"Shataev","m","","RUS","1995",""
"Shuljev","m","","RUS","1995",""
"Pawłowski","m","","POL","1995",""
"Cheng","m","","TAI","1995",""
"Chiang","f","","TAI","1995",""
"Lhakpa Dorje Iii","m","Sherpa","NEP","1995",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","1995",""
"Tenzing Nuru","m","Sherpa","NEP","1995",""
"Pustelnik","m","","POL","1995",""
"Ang Rita","m","Sherpa","NEP","1995",""
"Bogomolov","m","","RUS","1995",""
"Khamitsayev","m","","RUS","1995",""
"Korenkov","m","","RUS","1995",""
"Vinogradski","m","","RUS","1995",""
"Bianchi","m","","ITA","1995",""
"Kuntner","m","","ITA","1995",""
"Hargreaves","f","","UK","1995",""
"Catão","m","","BRA","1995",""
"Niclevicz","m","","BRA","1995",""
"Babu Chiri","m","Sherpa","NEP","1995",""
"Jourjon","m","","F","1995",""
"Hall","m","","USA","1995",""
"Aguilar","m","","USA","1995",""
"Kaji (Pasang Kami)","m","Sherpa","NEP","1995",""
"Litch","m","","USA","1995",""
"Mallory","m","","AUS","1995",""
"Ongda Chhiring (Ongda Tshering)","m","Sherpa","NEP","1995",""
"Wangchu I","m","Sherpa","NEP","1995",""
"Kirsis","m","","LAT","1995",""
"Patscheider","m","","ITA","1995",""
"Zauls","m","","LAT","1995",""
"Hinding","m","","A","1995",""
"Apa (Appa)","m","Sherpa","NEP","1995",""
"Arita","m","Sherpa","NEP","1995",""
"Bull","m","","USA","1995",""
"Heinrich","m","","ARG","1995",""
"Nima Rita","m","Sherpa","NEP","1995",""
"Budnik","m","","USA","1995",""
"Jangbu Ii","m","Sherpa","NEP","1995",""
"Lynch","m","","USA","1995",""
"Phinzo I","m","Sherpa","NEP","1995",""
"Reneker","m","","USA","1995",""
"Wedberg","m","","USA","1995",""
"Musal Kaji Tamang","m","","NEP","1995",""
"Tonsing","m","","USA","1995",""
"Bukreev","m","","KAZ","1995",""
"Ratcliffe","m","","UK","1995",""
"Sitnikov","m","","RUS","1995",""
"Kotov","m","","RUS","1995",""
"Mahruki","m","","TUR","1995",""
"Lacatusu","m","","ROM","1995",""
"Jones","m","","UK","1995",""
"Knakkergaard- Jørgensen","m","","DK","1995",""
"Lhakpa Gelu I","m","Sherpa","NEP","1995",""
"Shea","m","","USA","1995",""
"Tshering Dorje I","m","Sherpa","NEP","1995",""
"Babu Chiri","m","Sherpa","NEP","1995",""
"Hache","m","","F","1995",""
"Hempstead","m","","USA","1995",""
"Lama Jangbu","m","Sherpa","NEP","1995",""
"Child","m","","AUS","1995",""
"Karsang Namgyal/Namgel","m","Sherpa","NEP","1995",""
"Lobsang Temba","m","Sherpa","NEP","1995",""
"Allen","m","","AUS","1995",""
"Falvey","m","","IRE","1995",""
"Smith","m","","UK","1995",""
"Jo","m","","SK","1995",""
"Zangbu (Jangbu)","m","Sherpa","NEP","1995",""
"Han","m","","SK","1995",""
"Hong","m","","SK","1995",""
"Tashi Tshering I","m","Sherpa","NEP","1995",""
"Ang Dawa Tamang","m","","NEP","1995",""
"Kim","m","","SK","1995",""
"Kipa (Keepa)","m","Sherpa","NEP","1995",""
"Park","m","","SK","1995",""
"Chen","m","","TAI","1996","Fall"
"Hansen","m","","USA","1996","Exposure"
"Harris","m","","NZ","1996","Fall"
"Namba","f","","JAP","1996","Exhaustion"
"Fischer","m","","USA","1996","Exposure"
"Hall","m","","NZ","1996","Exposure"
"Dorje Morup","m","","IND","1996","Exposure"
"Tsewang Paljor","m","","IND","1996","Exposure"
"Tsewang Smanla","m","","IND","1996","Exposure"
"Wlasich","m","","A","1996","Altitude sickness"
"Herrod","m","","UK","1996","Fall"
"Nawang Dorje","m","Sherpa","NEP","1996","other"
"Bouchon","m","","F","1996","Avalanche"
"Lobsang Jangbu","m","Sherpa","NEP","1996","Avalanche"
"Dawa (I)","m","Sherpa","NEP","1996","Avalanche"
"Gau","m","","TAI","1996",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","1996",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","1996",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","1996",""
"Groom","m","","AUS","1996",""
"Hall","m","","NZ","1996",""
"Hansen","m","","USA","1996",""
"Harris","m","","NZ","1996",""
"Krakauer","m","","USA","1996",""
"Namba","f","","JAP","1996",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","1996",""
"Adams","m","","USA","1996",""
"Beidleman","m","","USA","1996",""
"Bukreev","m","","KAZ","1996",""
"Fischer","m","","USA","1996",""
"Fox (B Conant)","f","","USA","1996",""
"Gammelgaard","f","","DK","1996",""
"Hill Pittman","f","","USA","1996",""
"Lobsang Jangbu","m","Sherpa","NEP","1996",""
"Madsen","m","","USA","1996",""
"Nawang Dorje (Da Nawang Dorje)","m","Sherpa","NEP","1996",""
"Schoening","m","","USA","1996",""
"Tashi Tshering I","m","Sherpa","NEP","1996",""
"Tenzing I (Tenzen, Tenzi)","m","Sherpa","NEP","1996",""
"Ang Gyalzen Ii","m","Sherpa","NEP","1996",""
"Hanada","m","","JAP","1996",""
"Pasang Kami I","m","Sherpa","NEP","1996",""
"Pasang Tshering I (Pasang Tshiring)","m","Sherpa","NEP","1996",""
"Shigekawa","m","","JAP","1996",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","1996",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","1996",""
"Kikuchi","m","","JAP","1996",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","1996",""
"Sugiyama","m","","JAP","1996",""
"Dawa Tashi I","m","Sherpa","NEP","1996",""
"Dawa Tshering Ii (Dawa Chhiri)","m","Sherpa","NEP","1996",""
"Gangdal","m","","NOR","1996",""
"Ulvund","m","","NOR","1996",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","1996",""
"Pemba Tshering I","m","Sherpa","NEP","1996",""
"Takeuchi","m","","JAP","1996",""
"Kusang Dorjee","m","Sherpa","IND","1996",""
"Nadre","m","Sherpa","IND","1996",""
"Negi","m","","IND","1996",""
"Sange Muktuk","m","Sherpa","IND","1996",""
"Singh","m","","IND","1996",""
"De Stefani","m","","ITA","1996",""
"Gyalbu","m","Sherpa","NEP","1996",""
"Nežerka","m","","CZE","1996",""
"Rostrup","m","","NOR","1996",""
"Dickinson","m","","UK","1996",""
"Fur Geljen","m","Sherpa","NEP","1996",""
"Hinkes","m","","UK","1996",""
"Lhakpa Gelu I","m","Sherpa","NEP","1996",""
"Mingma Dorje I","m","Sherpa","NEP","1996",""
"Kokhanov","m","","RUS","1996",""
"Kuznetsov","m","","RUS","1996",""
"Semikolenkov","m","","RUS","1996",""
"Yamazaki","m","","JAP","1996",""
"Breashears","m","","USA","1996",""
"Dorje Iii","m","Sherpa","NEP","1996",""
"Jamling Tenzing Norgay","m","","IND","1996",""
"Jangbu Ii","m","Sherpa","NEP","1996",""
"Lhakpa Dorje Iii","m","Sherpa","NEP","1996",""
"Muktu Lhakpa","m","Sherpa","NEP","1996",""
"Schauer","m","","A","1996",""
"Segarra","f","","E","1996",""
"Thilen","m","Sherpa","NEP","1996",""
"Viesturs","m","","USA","1996",""
"Babu Chiri","m","Sherpa","NEP","1996",""
"Dawa I","m","Sherpa","NEP","1996",""
"Renard","m","","F","1996",""
"Ang Rita","m","Sherpa","NEP","1996",""
"Kropp","m","","SWE","1996",""
"Martínez","m","","E","1996",""
"Kammerlander","m","","ITA","1996",""
"Contreras","m","","MEX","1996",""
"Ponce De León","m","","MEX","1996",""
"Ang Dorje Iii","m","Sherpa","NEP","1996",""
"Herrod","m","","UK","1996",""
"Lama Jangbu","m","Sherpa","NEP","1996",""
"O'dowd","f","","SA","1996",""
"Pemba Tenji (Pekka Tenja)","m","Sherpa","NEP","1996",""
"Woodall","m","","UK","1996",""
"Ang Gyalzen Ii","m","Sherpa","NEP","1996",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","1996",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","1996",""
"Gyalzen I","m","Sherpa","NEP","1996",""
"Kaji (Pasang Kami)","m","Sherpa","NEP","1996",""
"Sumarwati","f","","RI","1996",""
"Ang Dawa Tamang","m","","NEP","1996",""
"Choi","m","","SK","1996",""
"Kipa (Keepa)","m","Sherpa","NEP","1996",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","1996",""
"Shin","m","","SK","1996",""
"Duff","m","","UK","1997","other"
"Nima Rinzi","m","Sherpa","NEP","1997","Fall"
"Torochin","m","","RUS","1997","Fall"
"Plotnikov","m","","RUS","1997","other"
"Shevtchenko","m","","RUS","1997","other"
"Mingma Tamang","m","","NEP","1997","Fall"
"Kowalzik","m","","GER","1997","other"
"Tenzing Nuru","m","Sherpa","NEP","1997","Fall"
"Choi","m","","SK","1997","Avalanche"
"Apa (Appa)","m","Sherpa","NEP","1997",""
"Bashkirov","m","","RUS","1997",""
"Bukreev","m","","KAZ","1997",""
"Dawa Nuru Ii (Dawa Norbu)","m","Sherpa","NEP","1997",""
"Pratu","m","","RI","1997",""
"Frolov","m","","KAZ","1997",""
"Molotov","m","","KAZ","1997",""
"Ovcharenko","m","","KAZ","1997",""
"Suviga","m","","KAZ","1997",""
"Ang Dawa Tamang","m","","NEP","1997",""
"Lee","m","","SK","1997",""
"Plotnikov","m","","RUS","1997",""
"Shevtchenko","m","","RUS","1997",""
"Cagnin","m","","F","1997",""
"De Choudens","m","","F","1997",""
"Vasilev","m","","BUL","1997",""
"Farafonov","m","","KAZ","1997",""
"Grekov","m","","KAZ","1997",""
"Lavrov","m","","KAZ","1997",""
"Mouravev","m","","KAZ","1997",""
"Savina","f","","KAZ","1997",""
"Sobolev","m","","KAZ","1997",""
"Danuri (Danu)","m","Sherpa","NEP","1997",""
"Babu Chiri","m","Sherpa","NEP","1997",""
"Dawa I","m","Sherpa","NEP","1997",""
"Kekus","m","","UK","1997",""
"Magnusson","m","","ICE","1997",""
"Ólafsson","m","","ICE","1997",""
"Stefansson","m","","ICE","1997",""
"Evans","m","","CAN","1997",""
"Pepevnik","m","","SLO","1997",""
"Kozjek","m","","SLO","1997",""
"Athans","m","","USA","1997",""
"Breashears","m","","USA","1997",""
"Dorje Iii","m","Sherpa","NEP","1997",""
"Jangbu Ii","m","Sherpa","NEP","1997",""
"Kami I (Kame)","m","Sherpa","NEP","1997",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","1997",""
"Carter","m","","USA","1997",""
"Cotter","m","","NZ","1997",""
"Gustafsson","m","","SF","1997",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","1997",""
"Tashi Wangchuk Tenzing","m","","AUS","1997",""
"Viesturs","m","","USA","1997",""
"Blakeley","m","","UK","1997",""
"Dawa Tenzi (Da Tenzi)","m","Sherpa","NEP","1997",""
"Lhakpa Gelu I","m","Sherpa","NEP","1997",""
"Rodríguez","m","","MEX","1997",""
"Warham","m","","UK","1997",""
"Delgado","m","","MEX","1997",""
"Tenzing I (Tenzen, Tenzi)","m","Sherpa","NEP","1997",""
"Ang Phuri Gyalzen","m","Sherpa","NEP","1997",""
"Dawa Temba I","m","Sherpa","NEP","1997",""
"Fura Dorje (Phura Dorje)","m","Sherpa","NEP","1997",""
"Gyalzen I","m","Sherpa","NEP","1997",""
"Munisamy","m","","MY","1997",""
"Nagapan","m","","MY","1997",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","1997",""
"Clarke","m","","CAN","1997",""
"Gyalbu","m","Sherpa","NEP","1997",""
"Hobson","m","","CAN","1997",""
"Kami Tshering (Ang Chhiring)","m","Sherpa","NEP","1997",""
"Lhakpa Tshering I","m","Sherpa","NEP","1997",""
"Tashi Tshering I","m","Sherpa","NEP","1997",""
"Sokolov","m","","RUS","1997",""
"Zelinski","m","","RUS","1997",""
"Ang Pasang I (Pasang Nuru)","m","Sherpa","NEP","1997",""
"Berg","m","","USA","1997",""
"Kami Rita I (Topke)","m","Sherpa","NEP","1997",""
"Lhakpa Rita I","m","Sherpa","NEP","1997",""
"Mingma Chhiri I (Mingma Chhiring)","m","Sherpa","NEP","1997",""
"Nima Tashi","m","Sherpa","NEP","1997",""
"Pemba Tenji (Pekka Tenja)","m","Sherpa","NEP","1997",""
"Tenzing Nuru","m","Sherpa","NEP","1997",""
"Contreras","m","","MEX","1997",""
"Dawa Sona (Da Sonam)","m","Sherpa","NEP","1997",""
"Pauls","m","","LAT","1997",""
"Dorje I","m","Sherpa","NEP","1997",""
"Kipa (Keepa)","m","Sherpa","NEP","1997",""
"Muir (B Koch)","f","","AUS","1997",""
"Daqimi (Da Chimyi)","m","","CHN","1997",""
"Kai Zhong (Khetsun)","m","","CHN","1997",""
"Tenzing Dorje (Danzhen Duoji)","m","","CHN","1997",""
"Brice","m","","NZ","1997",""
"Price","m","","NZ","1997",""
"Nawang Phurba","m","Sherpa","NEP","1998",""
"Siew","m","","MY","1998",""
"Dhillon","m","","UK","1998",""
"Kusang Dorjee","m","Sherpa","IND","1998",""
"Nima Dorje Ii (Boka Lama)","m","Sherpa","NEP","1998",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","1998",""
"Walsh","m","","UK","1998",""
"Rockenbauer","m","","A","1998",""
"Grylls","m","","UK","1998",""
"Laughton","m","","UK","1998",""
"Pasang Dawa I (Pa Dawa, Pando)","m","Sherpa","NEP","1998",""
"Pasang Tshering Ii (Ang Tshering)","m","Sherpa","NEP","1998",""
"Silva","m","","AUS","1998",""
"Alpert","m","","USA","1998",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","1998",""
"Sloezen","m","","USA","1998",""
"Dawa Sona (Da Sonam)","m","Sherpa","NEP","1998",""
"Lhakpa Tshering I","m","Sherpa","NEP","1998",""
"Norbu (Nurbu, Nuru)","m","Sherpa","NEP","1998",""
"Rhoads","m","","USA","1998",""
"Tashi Tshering I","m","Sherpa","NEP","1998",""
"Whittaker","m","","USA","1998",""
"Pitarch","m","","E","1998",""
"Kaji (Pasang Kami)","m","Sherpa","NEP","1998",""
"Tashi Tshering I","m","Sherpa","NEP","1998",""
"Arsentiev","m","","RUS","1998","other"
"Arsentiev","f","","USA","1998","Exposure"
"Jennings","m","","UK","1998","Exhaustion"
"Buick","m","","NZ","1998","Exposure"
"Bolotov","m","","RUS","1998",""
"Pershin","m","","RUS","1998",""
"Timofeev","m","","RUS","1998",""
"Vinogradski","m","","RUS","1998",""
"Abe","m","","JAP","1998",""
"Ang Gyalzen Ii","m","Sherpa","NEP","1998",""
"Nakajima","m","","JAP","1998",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","1998",""
"Pasang Kami I","m","Sherpa","NEP","1998",""
"Chavan","m","","IND","1998",""
"Dawa Nuru Ii (Dawa Norbu)","m","Sherpa","NEP","1998",""
"Dawa Tashi I","m","Sherpa","NEP","1998",""
"Nawang Tenzing I","m","Sherpa","NEP","1998",""
"Tamtin (Thomting, Tamding)","m","Sherpa","NEP","1998",""
"Ang Mingma (Mingma)","m","Sherpa","NEP","1998",""
"Hashimoto","m","","JAP","1998",""
"Kurahashi","m","","JAP","1998",""
"Nagata","m","","JAP","1998",""
"Sakamoto","m","","JAP","1998",""
"Sato","m","","JAP","1998",""
"Kulbachenko","m","","BLR","1998",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","1998",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","1998",""
"Kamimura","m","","JAP","1998",""
"Onodera","m","","JAP","1998",""
"Dharmshaktu","m","","IND","1998",""
"Nima Gyalzen I","m","Sherpa","NEP","1998",""
"Phinzo Norbu (Phinzo)","m","Sherpa","NEP","1998",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","1998",""
"Muraguchi","m","","JAP","1998",""
"Pasang Kitar (Pasang Kidar)","m","Sherpa","NEP","1998",""
"Sawada","m","","JAP","1998",""
"Tshering Dorje Ii (Chhiring Dorje)","m","Sherpa","NEP","1998",""
"Hámor","m","","SLK","1998",""
"Plulík","m","","SLK","1998",""
"Zboja","m","","SLK","1998",""
"Jaroš","m","","CZE","1998",""
"Nosek","m","","CZE","1998",""
"Gyalzen I","m","Sherpa","NEP","1998",""
"Kawahara","m","","JAP","1998",""
"Yano","m","","JAP","1998",""
"Ang Gyalzen I (Gyalzen)","m","Sherpa","NEP","1998",""
"Ang Pasang Iii","m","Sherpa","NEP","1998",""
"Apa (Appa)","m","Sherpa","NEP","1998",""
"Arita","m","Sherpa","NEP","1998",""
"Beavon","m","","USA","1998",""
"Chuldin Nuru (Chuldim)","m","Sherpa","NEP","1998",""
"Cole","m","","USA","1998",""
