"Lastname","Nation","Sherpa","Gender","Y"
"Lhakpa Rita I","NEP","Sherpa","m","1994"
"Man Bahadur Tamang (Gopal)","NEP","","m","1994"
"Morrow","USA","","m","1994"
"Pawłowski","POL","","m","1994"
"Dawa Tashi I","NEP","Sherpa","m","1994"
"Ishikawa","JAP","","m","1994"
"Nima Temba Ii","NEP","Sherpa","m","1994"
"Pasang Tshering I (Pasang Tshiring)","NEP","Sherpa","m","1994"
"Hahn","USA","","m","1994"
"Swenson","USA","","m","1994"
"Rheinberger","AUS","","m","1994"
"Whetu","NZ","","m","1994"
"Sloezen","USA","","m","1994"
"Apa (Appa)","NEP","Sherpa","m","1994"
"Chuwang Nima (Chhewang Nima)","NEP","Sherpa","m","1994"
"Dawa Tshering Iii (Dawa Chhiri)","NEP","Sherpa","m","1994"
"Nukita","JAP","","m","1994"
"Dawa Temba I","NEP","Sherpa","m","1994"
"Dorje I","NEP","Sherpa","m","1994"
"Hornsby","UK","","m","1994"
"Kirkwood","UK","","m","1994"
"Lobsang Jangbu","NEP","Sherpa","m","1995"
"Dawa Tshering Ii (Dawa Chhiri)","NEP","Sherpa","m","1995"
"Furuno","JAP","","m","1995"
"Imoto","JAP","","m","1995"
"Lhakpa Nuru I","NEP","Sherpa","m","1995"
"Nima Dorje I (Dorje)","NEP","Sherpa","m","1995"
"Pasang Kami I","NEP","Sherpa","m","1995"
"Projaev","RUS","","m","1995"
"Shataev","RUS","","m","1995"
"Shuljev","RUS","","m","1995"
